,loss,accuracy,val_loss,val_accuracy,lr
0,1.5676732063293457,0.44720739126205444,7.048455238342285,0.18384075164794922,0.001
1,1.1376519203186035,0.5767478346824646,7.409659385681152,0.15573769807815552,0.001
2,0.9482430815696716,0.6533003449440002,5.379798889160156,0.13231849670410156,0.001
3,0.7485228180885315,0.7315453886985779,7.2333784103393555,0.16276346147060394,0.001
4,0.41859811544418335,0.8595234751701355,3.143742322921753,0.2576112449169159,0.0005
5,0.24743318557739258,0.9244890213012695,1.5655505657196045,0.5011709332466125,0.0005
6,0.1221478059887886,0.9713578820228577,1.5283581018447876,0.5292739868164062,0.0005
7,0.05426976457238197,0.9930998682975769,1.782823920249939,0.5117096304893494,0.0005
8,0.036150310188531876,0.9966150522232056,1.6298807859420776,0.578454315662384,0.0005
9,0.020807860419154167,0.9984377026557922,1.9252803325653076,0.5573770403862,0.0005
